tiraz;"datetime";number1;2-number;3-number;4-number;5-number;6-number
1;"10.11.2008 08:50";15;17;22;23;25;33
2;"13.11.2008 08:50";23;29;44;19;24;45
3;"17.11.2008 08:50";38;7;3;45;26;4
4;"20.11.2008 08:50";31;26;44;37;40;27
5;"24.11.2008 08:50";16;17;12;21;23;35
6;"27.11.2008 08:50";17;42;32;33;4;38
7;"01.12.2008 08:50";28;12;21;18;45;42
8;"04.12.2008 08:50";23;30;24;8;4;26
9;"08.12.2008 08:50";26;22;34;20;39;19
10;"11.12.2008 08:50";29;27;22;33;28;31
11;"15.12.2008 08:50";43;30;28;34;37;3
12;"18.12.2008 08:50";10;17;36;40;19;37
13;"22.12.2008 08:50";45;33;15;27;32;9
14;"25.12.2008 08:50";7;21;23;8;15;39
15;"29.12.2008 08:50";17;40;23;7;36;20
16;"01.01.2009 08:50";36;44;21;33;28;43
17;"11.01.2009 09:45";43;33;7;34;31;11
18;"15.01.2009 08:30";3;24;16;11;10;17
19;"18.01.2009 09:45";27;17;45;26;14;5
20;"22.01.2009 08:30";42;31;45;35;29;41
21;"25.01.2009 09:45";16;32;17;24;9;14
22;"29.01.2009 08:30";11;8;39;16;19;13
23;"01.02.2009 09:45";35;45;26;30;16;23
24;"05.02.2009 08:30";16;42;14;11;17;8
25;"08.02.2009 09:45";44;1;45;13;25;35
26;"12.02.2009 08:30";4;11;24;44;23;30
27;"15.02.2009 09:45";6;38;44;3;30;19
28;"19.02.2009 08:30";44;40;11;13;10;32
29;"22.02.2009 09:45";37;8;13;9;25;14
30;"26.02.2009 14:45";26;16;39;41;15;13
31;"01.03.2009 09:45";38;5;30;13;22;16
32;"05.03.2009 08:30";13;36;11;9;18;10
33;"08.03.2009 09:45";35;25;31;45;32;22
34;"12.03.2009 08:30";32;4;1;7;28;12
35;"15.03.2009 09:45";29;8;5;12;20;24
36;"19.03.2009 08:30";27;13;26;21;16;11
37;"22.03.2009 09:45";24;40;36;11;44;37
38;"26.03.2009 15:00";45;4;44;2;42;32
39;"29.03.2009 09:35";18;38;42;31;17;44
40;"02.04.2009 08:30";26;10;24;35;21;13
41;"05.04.2009 09:45";15;32;43;13;29;7
42;"09.04.2009 08:30";16;10;6;34;9;20
43;"12.04.2009 09:45";30;43;19;10;42;22
44;"16.04.2009 08:30";25;16;27;33;35;36
45;"19.04.2009 09:45";4;15;5;36;9;1
46;"23.04.2009 08:30";14;41;38;37;19;5
47;"26.04.2009 09:45";39;40;25;24;12;1
48;"30.04.2009 08:30";9;37;27;36;8;34
49;"03.05.2009 09:45";8;22;21;45;1;34
50;"07.05.2009 08:30";22;37;11;12;8;44
51;"10.05.2009 09:45";38;30;29;33;36;40
52;"14.05.2009 08:30";22;37;5;32;17;1
53;"17.05.2009 09:45";39;5;22;30;21;20
54;"21.05.2009 08:30";14;5;9;21;25;15
55;"24.05.2009 09:45";34;15;43;5;28;36
56;"28.05.2009 15:00";27;8;31;22;4;7
57;"31.05.2009 09:45";4;21;1;34;45;19
58;"03.06.2009 19:30";15;2;30;41;31;35
59;"06.06.2009 19:30";15;24;19;27;23;43
60;"10.06.2009 19:30";36;1;11;13;24;40
61;"13.06.2009 19:45";31;28;6;26;19;34
62;"17.06.2009 19:45";39;41;17;4;37;10
63;"20.06.2009 19:45";10;11;41;38;1;14
64;"24.06.2009 19:45";18;27;28;31;4;26
65;"27.06.2009 19:45";3;11;16;15;38;18
66;"01.07.2009 19:45";36;28;14;21;29;32
67;"04.07.2009 19:45";29;17;15;21;28;24
68;"08.07.2009 19:45";22;24;14;27;35;20
69;"11.07.2009 19:45";31;26;29;4;21;44
70;"15.07.2009 19:45";13;3;4;6;44;37
71;"18.07.2009 19:45";6;30;36;37;11;14
72;"22.07.2009 19:45";21;18;29;40;43;23
73;"25.07.2009 19:45";34;32;16;8;40;11
74;"29.07.2009 19:45";25;38;22;6;14;19
75;"01.08.2009 19:45";36;31;11;42;3;32
76;"05.08.2009 19:45";17;8;45;10;25;23
77;"08.08.2009 19:45";15;42;38;24;14;19
78;"12.08.2009 19:45";20;10;26;19;39;15
79;"15.08.2009 19:45";5;36;9;16;26;18
80;"19.08.2009 19:45";39;2;25;36;11;12
81;"22.08.2009 19:45";45;40;36;16;1;11
82;"26.08.2009 19:45";35;18;19;29;32;21
83;"29.08.2009 19:45";10;24;40;32;17;39
84;"02.09.2009 19:45";21;45;25;26;18;6
85;"05.09.2009 19:45";28;17;43;36;3;33
86;"09.09.2009 19:45";20;35;11;26;18;2
87;"12.09.2009 19:45";25;40;3;35;45;10
88;"16.09.2009 19:45";18;14;34;25;20;31
89;"19.09.2009 19:45";38;44;12;10;23;14
90;"23.09.2009 19:45";32;39;28;3;23;43
91;"26.09.2009 19:45";13;21;2;12;18;45
92;"30.09.2009 19:45";29;8;6;37;14;39
93;"03.10.2009 19:45";38;11;32;18;30;3
94;"07.10.2009 19:45";30;33;21;10;44;39
95;"10.10.2009 19:45";31;12;44;5;34;1
96;"14.10.2009 19:45";9;5;36;33;31;43
97;"17.10.2009 21:00";6;2;24;28;18;37
98;"21.10.2009 21:00";9;10;26;8;15;19
99;"24.10.2009 21:00";40;1;38;35;29;27
100;"28.10.2009 21:00";41;34;42;10;17;25
101;"31.10.2009 21:00";6;34;19;15;43;3
102;"04.11.2009 22:00";24;26;10;45;39;33
103;"07.11.2009 22:00";37;36;1;14;24;40
104;"11.11.2009 22:00";29;34;43;24;21;16
105;"14.11.2009 22:00";23;20;15;28;41;36
106;"18.11.2009 22:00";14;25;18;3;6;36
107;"21.11.2009 22:00";10;20;23;31;6;30
108;"25.11.2009 22:00";20;26;3;2;4;34
109;"28.11.2009 22:00";43;6;3;8;34;25
110;"02.12.2009 22:00";11;7;2;31;3;16
111;"05.12.2009 22:00";15;1;39;5;14;34
112;"09.12.2009 22:00";39;34;27;19;45;4
113;"12.12.2009 22:00";4;16;18;28;22;32
114;"16.12.2009 22:00";10;45;37;35;25;17
115;"19.12.2009 22:00";13;23;14;4;42;20
116;"23.12.2009 22:00";43;34;32;28;21;41
117;"26.12.2009 22:00";22;35;21;5;13;1
118;"30.12.2009 22:00";22;16;12;26;36;45
119;"09.01.2010 22:00";27;11;10;12;5;24
120;"13.01.2010 22:00";14;5;33;32;13;17
121;"16.01.2010 22:00";3;36;39;4;1;20
122;"20.01.2010 22:00";26;11;23;45;30;1
123;"23.01.2010 22:00";26;12;11;19;2;30
124;"27.01.2010 22:00";10;19;1;16;29;20
125;"30.01.2010 22:00";41;17;8;21;11;39
126;"03.02.2010 22:00";26;45;37;13;43;35
127;"06.02.2010 22:00";12;9;14;6;5;38
128;"10.02.2010 22:00";17;25;37;9;3;10
129;"13.02.2010 22:00";9;34;35;19;37;14
130;"17.02.2010 22:00";43;18;31;27;3;28
131;"20.02.2010 22:00";28;2;17;33;11;43
132;"24.02.2010 22:00";39;19;18;42;24;8
133;"27.02.2010 22:00";25;41;27;39;3;43
134;"03.03.2010 22:00";9;31;26;27;43;3
