tiraz,1-number,2-number,3-number,4-number,5-number,6-number,datetime,jackpot
5393,3,22,8,45,36,12,2020-09-27 11:00:00,42064850
5392,16,5,9,43,13,12,2020-09-26 23:00:00,41608700
5391,41,22,20,5,32,11,2020-09-26 11:00:00,41330600
5390,32,22,38,3,2,37,2020-09-25 23:00:00,40834450
5389,14,41,22,8,29,25,2020-09-25 11:00:00,40725700
5388,22,39,27,6,29,28,2020-09-24 23:00:00,40381600
5387,37,7,9,27,41,31,2020-09-24 11:00:00,40291800
5386,42,22,44,31,32,11,2020-09-23 23:00:00,39802550
5385,13,38,16,30,23,12,2020-09-23 11:00:00,39546400
5384,15,31,30,28,22,14,2020-09-22 23:00:00,39061200
5383,7,19,26,17,20,21,2020-09-22 11:00:00,38833300
5382,13,43,5,31,23,41,2020-09-21 23:00:00,38279150
5381,38,2,18,41,23,16,2020-09-21 11:00:00,38003000
5380,14,25,9,17,26,13,2020-09-20 23:00:00,37531750
5379,8,33,22,12,39,14,2020-09-20 11:00:00,37291550
5378,43,39,16,3,37,2,2020-09-19 23:00:00,36654750
5377,32,39,13,22,24,10,2020-09-19 11:00:00,36320750
5376,34,26,28,1,39,37,2020-09-18 23:00:00,35648250
5375,22,6,17,9,14,3,2020-09-18 11:00:00,35580450
5374,29,3,30,36,11,22,2020-09-17 23:00:00,35996750
5373,15,5,28,23,41,17,2020-09-17 11:00:00,35934100
5372,24,33,13,37,23,42,2020-09-16 23:00:00,35305450
5371,38,32,23,4,27,24,2020-09-16 11:00:00,34993050
5370,22,1,20,37,36,18,2020-09-15 23:00:00,34273600
5369,35,36,38,34,39,23,2020-09-15 11:00:00,33856100
5368,15,9,17,42,32,34,2020-09-14 23:00:00,33530350
5367,43,7,3,11,5,1,2020-09-14 11:00:00,33519950
5366,14,45,28,5,42,40,2020-09-13 23:00:00,33165700
5365,8,38,1,41,2,37,2020-09-13 11:00:00,32843100
5364,30,7,14,28,6,39,2020-09-12 23:00:00,32284050
5363,45,38,35,23,11,19,2020-09-12 11:00:00,32151250
5362,44,18,6,16,17,11,2020-09-11 23:00:00,31563800
5361,5,22,9,44,2,13,2020-09-11 11:00:00,31306300
5360,45,7,35,27,10,16,2020-09-10 23:00:00,30799950
5359,6,18,37,14,5,32,2020-09-10 11:00:00,30507400
5358,17,15,8,34,11,40,2020-09-09 23:00:00,30187400
